Referenz,Version,Vorbestimmt,Typ,EAN13,Familie,Katalog,Nationaltarif,Garantie,"Etiqueta V/f","Full de dades",Beschreibung,masterfile.tender_text,masterfile.codi_duaner,Material,Fertig,Lang,Breite,Höhe,Projektion,Lichtquelle,"Eine Glühbirne einschließen",Energieeffizienz,"Masterbox Einheiten","Produkt aus dem Katalog entfernt",Produktstart,"Verpacktes Gewicht (kg)","Weight master box","Pes net (Kg)","Volumen Einheit (m3)","Volume Master box (m3)","Length Box 1","Kastenbreite 1","Höhenkiste 1","Length Box 2","Kastenbreite 2","Höhenkiste 2","Length Box 3","Kastenbreite 3","Höhenkiste 3","Length MB 1","Breitbahn 1","Höhe MB 1","Length MB 2","Breitbahn 2","Höhe MB 2","Length MB 3","Breitbahn 3","Höhe MB 3","Watts (W)","Lumens (lm)","Real Lumens (lm)","Temperatur de color LED (K)",CRI,Lichtstrahl,Regulierungstyp,IP,IK,"Web Bild","Umgebungsbild 1","Umgebungsbild 2","Umgebungsbild 3","Detailbild 1","Detailbild 2",IMC,EE,Fotometrie,masterfile.ploma_comercial,Zubehör,3D,masterfile.ies,masterfile.ldt,Kenia-Code,"RETILAP Codi","Marroc Codi","Landeskodex 4","Landeskodex 5","Landeskode 6",Model
DN-1602-14-00,V0,Nein,Deckeneinbauleuchten,8435381436711,"Dome ø200",Architectural,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/DN-1602-14-00.html,"DECKENEINBAULEUCHTEN DOME Ø200 GU10 8W WEISS IP23","LedsC4 Dome ø200 DN-1602-14-00  Deckeneinbauleuchten für den Innenbereich   Mit professionellem &quot;IN&quot;-Modul kompatibel. Unsichtbarer Ring für die LED-Glühlampe. Schwenkbare Lichtquelle. Material Körper: Stahl. Oberfläche Körper: Weiß. Garantie: 3 Jahre.  Nettogewicht des Produkts (Kg): 0.53 Breite oder Durchmesser des Produkts (mm): 200 Produkthöhe (mm): 180 Durchmesser des Einbaulochs (mm): 192 Zulässige Stärke der Decke: 0-25 Gewicht in kg (verpackt): 0.63  Klasse 2. Leuchte nicht geeignet für die direkte Installation auf brennbaren Oberfläche und für die Abdeckung mit isolierenden Materialien. IP: IP23. Netzteil inklusive: Nein, aber erforderlich. Gesamtleistung: 8.",9405199090,Stahl,Weiß,,200,180,,,Nein,"NA EPREL",30,"Eingestellt DE",2011,"0,63","18,9","0,53","0,006","0,18",210,210,115,,,,,,,,,,,,,,,,8,,,,,,,IP23,,https://files.ledsc4.com/main-photo/DN-1602-14-00,https://files.ledsc4.com/ambience-photo/1/DN-1602-14-00,,,https://files.ledsc4.com/detail-photo/1/DN-1602-14-00,,https://files.ledsc4.com/imc/DN-1602-14-00.html,,https://files.ledsc4.com/fm/DN-1602-14-00.html,https://files.ledsc4.com/pl/DN-1602-14-00.html,https://files.ledsc4.com/ft3/de/DN-1602-14-00.html,,https://files.ledsc4.com/ies/DN-1602-14-00.html,https://files.ledsc4.com/ldt/DN-1602-14-00.html,,,FX-INC-II,,,,"Dome ø200"
05-2820-81-81,V0,Nein,Wandaufbaubauleuchte,8435111081068,Bristol,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-2820-81-81.html,"WANDLEUCHTE BRISTOL LED 2.2 WARM WEISS - 3000K NICKEL SEIDENMATT. SCHIRM NICHT I","LedsC4 Bristol 05-2820-81-81  Wandaufbaubauleuchte für den Innenbereich   Design von Alex &amp; Manel Lluscà. Zeitloses Design. Vielseitig anpassbar: Zubehör, Verarbeitung… Qualitativ hochwertiges Finish. Ohne sichtbare Schrauben. Leichte Installation. Vollständige Kollektion mit ergänzenden Produkten. Lange Haltbarkeit bei intensiver Nutzung. Schwenkbare Lichtquelle. Material Körper: Stahl. Oberfläche Körper: Nickel seidenmatt. Garantie: 3 Jahre.  Nettogewicht des Produkts (Kg): 0.66 Breite oder Durchmesser des Produkts (mm): 285 Produkthöhe (mm): 438 Ausgang des Produktes (mm): 219 Gewicht in kg (verpackt): 1.07  Klasse 1. Glühdrahtprüfung: 850. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CREE. Maximale Leistung der Lichtquelle: 2.2W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. Photobiologisches Risiko: RG2. Nominaler Lichtstrom (lm): 182. Spannungs-/Frequenzbereich: 100-240/50-60Hz. Spannung: 3. Netzteil inklusive: Ja. Multivoltage-Netzteil inklusive. Gesamtleistung: 17.4. Leistungsfaktor: 0.40. dimmbares Betriebsgerät inklusive: Schaltbar.",9405119090,Stahl,"Nickel seidenmatt",,285,438,219,"1xLED 2.2 182.00 lm",Ja,G,12,"Eingestellt DE",2011,"1,07","12,84","0,66","0,008","0,096",210,120,255,,,,,,,,,,,,,,,,"17,4","182,00",,3000K,80,,Schaltbar,IP20,,https://files.ledsc4.com/main-photo/05-2820-81-81,,,,,,https://files.ledsc4.com/imc/05-2820-81-81.html,https://files.ledsc4.com/el/05-2820-81-81.html,https://files.ledsc4.com/fm/05-2820-81-81.html,https://files.ledsc4.com/pl/05-2820-81-81.html,https://files.ledsc4.com/ft3/de/05-2820-81-81.html,https://files.ledsc4.com/3d/05-2820-81-81.html,https://files.ledsc4.com/ies/05-2820-81-81.html,https://files.ledsc4.com/ldt/05-2820-81-81.html,,,FX-LED-I,,,,
05-4385-21-M1,V0,Ja,Bad,8435111081013,"Dresde 370mm",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-4385-21-M1.html,"BAD IP44 DRESDE 370MM 2G11 18W SCHALTBAR CHROM","LedsC4 Dresde 370mm 05-4385-21-M1  Bad für den Innenbereich   Zeitloses Design. Leichte Installation. Idealer IP Schutz für das Bad. Lange Haltbarkeit bei intensiver Nutzung. Material Körper: Stahl. Oberfläche Körper: Chrom. Material Diffusor: Polycarbonat. Oberfläche Diffusor: Opal. Garantie: 3 Jahre.  Nettogewicht des Produkts (Kg): 0.99 Breite oder Durchmesser des Produkts (mm): 60 Produkthöhe (mm): 370 Ausgang des Produktes (mm): 100 Gewicht in kg (verpackt): 1.05  IP: IP44. Netzteil inklusive: Ja. Gesamtleistung: 18.",9405199090,"Stahl, Polycarbonat","Chrom, Opal",,60,370,100,,Nein,"NA EPREL",6,"Eingestellt DE",2011,"1,05","6,3","0,99","0,008","0,048",430,110,150,,,,,,,440,320,340,,,,,,,18,,,,,,Schaltbar,IP44,,https://files.ledsc4.com/main-photo/05-4385-21-M1,,,,,,https://files.ledsc4.com/imc/05-4385-21-M1.html,,https://files.ledsc4.com/fm/05-4385-21-M1.html,https://files.ledsc4.com/pl/05-4385-21-M1.html,,https://files.ledsc4.com/3d/05-4385-21-M1.html,https://files.ledsc4.com/ies/05-4385-21-M1.html,https://files.ledsc4.com/ldt/05-4385-21-M1.html,,RETILAP-DECORATIVE,FX-INC-II,,,,"Dresde 370mm"
15-9480-34-37,V0,Nein,Deckenaufbauleuchte,8435111082201,"Afrodita 90mm",Outdoor,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/15-9480-34-37.html,"DECKENAUFBAULEUCHTE IP54 AFRODITA 90MM GU10 8W GRAU","LedsC4 Afrodita 90mm 15-9480-34-37  Deckenaufbauleuchte für den Außenbereich  Material Körper: Aluminium. Oberfläche Körper: Grau. Material Diffusor: Glas. Oberfläche Diffusor: Durchsichtig. Schutz gegen UV-Strahlung. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 0.42 Breite oder Durchmesser des Produkts (mm): 90 Produkthöhe (mm): 110 Gewicht in kg (verpackt): 0.52  Klasse 1. Leuchte nicht geeignet für die direkte Installation auf brennbaren Oberfläche und für die Abdeckung mit isolierenden Materialien. Glühdrahtprüfung: 850. IP: IP54. IK: IK05. Netzteil inklusive: Nein. Gesamtleistung: 8.",9405199090,"Aluminium, Glas","Grau, Durchsichtig",,90,110,,,Nein,"NA EPREL",8,"Eingestellt DE",2011,"0,52","4,16","0,42","0,002","0,016",100,100,130,,,,,,,210,210,280,,,,,,,8,,,,,,,IP54,IK05,https://files.ledsc4.com/main-photo/15-9480-34-37,,,,,,https://files.ledsc4.com/imc/15-9480-34-37.html,,https://files.ledsc4.com/fm/15-9480-34-37.html,https://files.ledsc4.com/pl/15-9480-34-37.html,,https://files.ledsc4.com/3d/15-9480-34-37.html,,https://files.ledsc4.com/ldt/15-9480-34-37.html,,,FX-INC-I,,,,
05-4394-78-M1,V0,Nein,Wandaufbaubauleuchte,8435381435615,Bend,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-4394-78-M1.html,"WANDAUFBAUBAULEUCHTE BEND LED 10W 3000K SCHALTBAR PORZELLANWEISS 239LM","LedsC4 Bend 05-4394-78-M1  Wandaufbaubauleuchte für den Innenbereich  Material Körper: Aluminium, Aluminium. Oberfläche Körper: Porzellanweiß. Material Diffusor: PMMA. Oberfläche Diffusor: Durchsichtig, Matt. Garantie: 3 Jahre.  Nettogewicht des Produkts (Kg): 0.44 Produktlänge (mm): 220 Breite oder Durchmesser des Produkts (mm): 91 Ausgang des Produktes (mm): 76 Gewicht in kg (verpackt): 0.93  Klasse 1. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CREE. Maximale Leistung der Lichtquelle: 9W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR: 11.0. Photobiologisches Risiko: RG2. Lichtstrom (lm): 239. Nominaler Lichtstrom (lm): 766. Reale Lm/W: 24. Spannungs-/Frequenzbereich: 100-240/50-60Hz. Spannung: 3. Netzteil inklusive: Ja. Multivoltage-Netzteil inklusive. Gesamtleistung: 10. Leistungsfaktor: 0.50. dimmbares Betriebsgerät inklusive: Schaltbar.",9405119090,"Aluminium, Aluminium, PMMA","Porzellanweiß, Durchsichtig, Matt",220,91,,76,"1xLED 9 766.00 lm",Ja,F,20,"Eingestellt DE",2014,"0,93","18,6","0,44","0,003","0,06",240,250,460,,,,,,,,,,,,,,,,10,"766,00",239,3000K,80,"Check Photometric file",Schaltbar,IP20,,https://files.ledsc4.com/main-photo/05-4394-78-M1,https://files.ledsc4.com/ambience-photo/1/05-4394-78-M1,https://files.ledsc4.com/ambience-photo/2/05-4394-78-M1,https://files.ledsc4.com/ambience-photo/3/05-4394-78-M1,https://files.ledsc4.com/detail-photo/1/05-4394-78-M1,,https://files.ledsc4.com/imc/05-4394-78-M1.html,https://files.ledsc4.com/el/05-4394-78-M1.html,,https://files.ledsc4.com/pl/05-4394-78-M1.html,,https://files.ledsc4.com/3d/05-4394-78-M1.html,,,,,FX-LED-I,,,,
ACT-9180-60-00,V0,Ja,Zubehör,8435111092187,"Honey Comb",Architectural,,3,,https://files.ledsc4.com/ft2/de/ACT-9180-60-00.html,WABENRASTER,"LedsC4 Honey Comb ACT-9180-60-00  Zubehör für den Innenbereich  Material Körper: Stahl. Garantie: 3 Jahre.  Nettogewicht des Produkts (Kg): 0.01 Gewicht in kg (verpackt): 0.0.",9405990090,Stahl,,,,,,,Nein,"NA EPREL",200,"Eingestellt DE",2012,"0,04",8,"0,01","0,001","0,2",140,140,10,,,,,,,680,310,300,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/ACT-9180-60-00,,,,,,https://files.ledsc4.com/imc/ACT-9180-60-00.html,,,,,,,,,,NA-Accessory,,,,
00-0073-14-05,V0,Nein,Pendelleuchten,8435111088142,"Pipe 170mm",Decorative,"77,78",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/00-0073-14-05.html,"PENDELLEUCHTEN PIPE 170MM GU10 8W WEISS 302LM","LedsC4 Pipe 170mm 00-0073-14-05  Pendelleuchten für den Innenbereich   Ideale Verbindung von Technik und Dekor. Minimalistisches Design. Sehr vielseitig. Zahlreiche Installationsmöglichkeiten. Vielseitig anpassbar: Zubehör, Verarbeitung… Optimales Preis/Leistungsverhältnis. Optimaler visueller Komfort. Doppelte Installation Einbau/Anbau. Leichte Installation. Vollständige Kollektion mit ergänzenden Produkten. Lange Haltbarkeit bei intensiver Nutzung. Material Körper: Aluminium, Stahl. Oberfläche Körper: Weiß. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 0.54 Breite oder Durchmesser des Produkts (mm): 68 Produkthöhe (mm): 1770 Gewicht in kg (verpackt): 0.67  Klasse 1. Glühdrahtprüfung: 850. IP: IP20. Gesamtleistung: 8.",9405199090,"Aluminium, Stahl",Weiß,,68,1770,,,Nein,"NA EPREL",25,"Auslauf DE",2012,"0,67","16,75","0,54","0,003","0,075",100,100,250,,,,,,,535,535,270,,,,,,,8,,302,,,"MEDIUM + HONEYCOMB",,IP20,,https://files.ledsc4.com/main-photo/00-0073-14-05,https://files.ledsc4.com/ambience-photo/1/00-0073-14-05,,,,,https://files.ledsc4.com/imc/00-0073-14-05.html,,https://files.ledsc4.com/fm/00-0073-14-05.html,https://files.ledsc4.com/pl/00-0073-14-05.html,https://files.ledsc4.com/ft3/de/00-0073-14-05.html,https://files.ledsc4.com/3d/00-0073-14-05.html,https://files.ledsc4.com/ies/00-0073-14-05.html,https://files.ledsc4.com/ldt/00-0073-14-05.html,,,FX-INC-I,,,,"Pipe Pendant 170mm"
05-0070-14-14,V0,Nein,Wandaufbaubauleuchte,8435111091203,"Oval 180mm",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-0070-14-14.html,"WANDAUFBAUBAULEUCHTE OVAL 180MM LED 6.1W 3000K SCHALTBAR WEISS 340LM","LedsC4 Oval 180mm 05-0070-14-14  Wandaufbaubauleuchte für den Innenbereich   Zeitloses Design. Material Körper: Aluminium, Stahl. Oberfläche Körper: Weiß. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 0.6 Breite oder Durchmesser des Produkts (mm): 180 Produkthöhe (mm): 70 Ausgang des Produktes (mm): 90 Gewicht in kg (verpackt): 0.74  Klasse 1. Glühdrahtprüfung: 850. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CITIZEN. Marke des Drivers: HEP. Maximale Leistung der Lichtquelle: 4.8W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR:  13.0. Photobiologisches Risiko: RG1. Lichtstrom (lm): 340. Nominaler Lichtstrom (lm): 488. Reale Lm/W: 56. Spannungs-/Frequenzbereich: 100-240/50-60Hz. Spannung: 9. Netzteil inklusive: Ja. Multivoltage-Netzteil inklusive. Gesamtleistung: 6.1. Leistungsfaktor: 0.90. dimmbares Betriebsgerät inklusive: Schaltbar.",9405119090,"Aluminium, Stahl",Weiß,,180,70,90,"1xLED 4.8 488 lm",Ja,F,12,"Eingestellt DE",2012,"0,74","8,88","0,6","0,003","0,036",205,90,120,,,,,,,430,300,265,,,,,,,"6,1",488,340,3000K,80,,Schaltbar,IP20,,https://files.ledsc4.com/main-photo/05-0070-14-14,,,,,,https://files.ledsc4.com/imc/05-0070-14-14.html,https://files.ledsc4.com/el/05-0070-14-14.html,https://files.ledsc4.com/fm/05-0070-14-14.html,https://files.ledsc4.com/pl/05-0070-14-14.html,,https://files.ledsc4.com/3d/05-0070-14-14.html,https://files.ledsc4.com/ies/05-0070-14-14.html,https://files.ledsc4.com/ldt/05-0070-14-14.html,,,FX-LED-I,,,,"Oval 180mm"
05-0071-14-14,V0,Nein,Wandaufbaubauleuchte,8435381471019,"Jet Model 1",Decorative,"79,31",5,"100-277V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-0071-14-14.html,"WANDAUFBAUBAULEUCHTE JET MODEL 1 LED 4.3W 3000K WEISS 109LM","LedsC4 Jet Model 1 05-0071-14-14  Wandaufbaubauleuchte für den Innenbereich   Ideale Verbindung von Technik und Dekor. Zeitloses Design. Sehr vielseitig. Zahlreiche Installationsmöglichkeiten. Ohne sichtbare Schrauben. Hohe Ist-Leistung  W/lm. Optimales Preis/Leistungsverhältnis. Optimaler visueller Komfort. Lange Haltbarkeit bei intensiver Nutzung. Material Körper: Aluminium. Oberfläche Körper: Weiß. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 0.43 Breite oder Durchmesser des Produkts (mm): 100 Produkthöhe (mm): 60 Ausgang des Produktes (mm): 100 Gewicht in kg (verpackt): 0.54  Klasse 1. Glühdrahtprüfung: 850. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CREE. Maximale Leistung der Lichtquelle: 2.2W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR:  1.7. Photobiologisches Risiko: RG2. Lichtstrom (lm): 109. Nominaler Lichtstrom (lm): 182. Reale Lm/W: 25. Spannung: 3. Netzteil inklusive: Ja. Multivoltage-Netzteil inklusive. Gesamtleistung: 4.3. Leistungsfaktor: 0.47.",9405119090,Aluminium,Weiß,,100,60,100,"1xLED 2.2 182 lm",Ja,G,20,"Auslauf DE",2012,"0,54","10,8","0,43","0,002","0,04",125,100,120,,,,,,,,,,,,,,,,"4,3",182,109,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-0071-14-14,,,,,,https://files.ledsc4.com/imc/05-0071-14-14.html,https://files.ledsc4.com/el/05-0071-14-14.html,https://files.ledsc4.com/fm/05-0071-14-14.html,,,https://files.ledsc4.com/3d/05-0071-14-14.html,https://files.ledsc4.com/ies/05-0071-14-14.html,https://files.ledsc4.com/ldt/05-0071-14-14.html,,,FX-LED-I,,,,"Jet Rectangular"
EP-0356-14-00,V0,Nein,Signalisierung,8435381454869,Sign,Architectural,,2,"max. 700mA",https://files.ledsc4.com/ft2/de/EP-0356-14-00.html,"SIGNALISIERUNG SIGN 2.2W 3000K CRI 80 WEISS IP20 80LM","LedsC4 Sign EP-0356-14-00  Signalisierung für den Innenbereich  Material Körper: Aluminium. Oberfläche Körper: Weiß. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 0.27 Produktlänge (mm): 90 Breite oder Durchmesser des Produkts (mm): 90 Produkthöhe (mm): 62 Durchmesser des Einbaulochs (mm): 80x120 Gewicht in kg (verpackt): 0.38  Klasse 3. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CREE. Maximale Leistung der Lichtquelle: 2.2W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR:  0.9. Photobiologisches Risiko: RG2. Lichtstrom (lm): 80. Nominaler Lichtstrom (lm): 170. Reale Lm/W: 36. Spannung: 3. Netzteil inklusive: Nein, aber erforderlich. Gesamtleistung: 2.2.",9405119090,Aluminium,Weiß,90,90,62,,"1xLED 2.2 170 lm",Ja,G,24,"Eingestellt DE",2013,"0,38","9,12","0,27","0,002","0,048",135,130,75,,,,,,,,,,,,,,,,"2,2",170,80,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/EP-0356-14-00,,,,https://files.ledsc4.com/detail-photo/1/EP-0356-14-00,,https://files.ledsc4.com/imc/EP-0356-14-00.html,https://files.ledsc4.com/el/EP-0356-14-00.html,https://files.ledsc4.com/fm/EP-0356-14-00.html,https://files.ledsc4.com/pl/EP-0356-14-00.html,https://files.ledsc4.com/ft3/de/EP-0356-14-00.html,,https://files.ledsc4.com/ies/EP-0356-14-00.html,https://files.ledsc4.com/ldt/EP-0356-14-00.html,,,DW-LED-III,,,,
05-2840-21-82,V0,Ja,Wandaufbaubauleuchte,8435381401290,Oxford,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-2840-21-82.html,"WANDLEUCHTE OXFORD LED 1 WARM WEISS - 3000K CHROM. SCHIRM NICHT INKLUSIVE.","LedsC4 Oxford 05-2840-21-82  Wandaufbaubauleuchte für den Innenbereich   Zeitloses Design. Qualitativ hochwertiges Finish. Lange Haltbarkeit bei intensiver Nutzung. Das optische Modul kann leicht um 360° geschwenkt werden. Material Körper: Stahl. Oberfläche Körper: Chrom. Garantie: 3 Jahre.  Nettogewicht des Produkts (Kg): 0.87 Breite oder Durchmesser des Produkts (mm): 200 Produkthöhe (mm): 453 Ausgang des Produktes (mm): 288 Gewicht in kg (verpackt): 1.4  Klasse 1. Glühdrahtprüfung: 850. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CREE. Maximale Leistung der Lichtquelle: 1W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. Photobiologisches Risiko: RG2. Nominaler Lichtstrom (lm): 94. Spannungs-/Frequenzbereich: 100-240/50-60Hz. Spannung: 3. Netzteil inklusive: Ja. Multivoltage-Netzteil inklusive. Gesamtleistung: 16.1. Leistungsfaktor: 0.40.",9405119090,Stahl,Chrom,,200,453,288,"1xLED 1 94.00 lm",Ja,G,4,"Eingestellt DE",2012,"1,4","5,6","0,87","0,019","0,076",290,155,355,,,,,,,610,375,310,,,,,,,"16,1","94,00",,3000K,80,,,IP20,,https://files.ledsc4.com/main-photo/05-2840-21-82,,,,,,https://files.ledsc4.com/imc/05-2840-21-82.html,https://files.ledsc4.com/el/05-2840-21-82.html,,https://files.ledsc4.com/pl/05-2840-21-82.html,https://files.ledsc4.com/ft3/de/05-2840-21-82.html,https://files.ledsc4.com/3d/05-2840-21-82.html,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
05-1611-81-M2,V0,Nein,Wandaufbaubauleuchte,8435381470999,"Siena LED",Decorative,,3,"110-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-1611-81-M2.html,"WANDAUFBAUBAULEUCHTE SIENA LED LED 3000K NICKEL SEIDENMATT 50LM","LedsC4 Siena LED 05-1611-81-M2  Wandaufbaubauleuchte für den Innenbereich   Zeitloses Design. Qualitativ hochwertiges Finish. Lange Haltbarkeit bei intensiver Nutzung. Das optische Modul kann leicht um 360° geschwenkt werden. Material Körper: Stahl, Aluminium. Oberfläche Körper: Nickel seidenmatt. Material Diffusor: Polycarbonat. Oberfläche Diffusor: Durchsichtig. Garantie: 3 Jahre.  Nettogewicht des Produkts (Kg): 0.55 Breite oder Durchmesser des Produkts (mm): 400 Ausgang des Produktes (mm): 160 Gewicht in kg (verpackt): 0.87  Klasse 2. Glühdrahtprüfung: 850. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Maximale Leistung der Lichtquelle: 3.6W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. Lebensdauer in Stunden: 50.000h L80B20. UGR:  3.2. Lichtstrom (lm): 50. Nominaler Lichtstrom (lm): 400. Reale Lm/W: 17. Netzteil inklusive: Ja. Multivoltage-Netzteil inklusive.",9405119090,"Stahl, Aluminium, Polycarbonat","Nickel seidenmatt, Durchsichtig",,400,,160,"1xLED 3.6 400.00 lm",Ja,E,6,"Eingestellt DE",2012,"0,87","5,22","0,55","0,01","0,06",425,185,110,,,,,,,,,,,,,,,,,"400,00",50,3000K,80,,,IP20,,https://files.ledsc4.com/main-photo/05-1611-81-M2,,,,,,https://files.ledsc4.com/imc/05-1611-81-M2.html,https://files.ledsc4.com/el/05-1611-81-M2.html,https://files.ledsc4.com/fm/05-1611-81-M2.html,https://files.ledsc4.com/pl/05-1611-81-M2.html,,https://files.ledsc4.com/3d/05-1611-81-M2.html,https://files.ledsc4.com/ies/05-1611-81-M2.html,https://files.ledsc4.com/ldt/05-1611-81-M2.html,,,FX-LED-II,,,,
05-2019-S2-14,V0,Nein,Wandaufbaubauleuchte,8435381404956,"Oval 300mm",Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-2019-S2-14.html,"WANDAUFBAUBAULEUCHTE OVAL 300MM LED 11.3W 3000K ALUMINIUM SEIDENMATT 764LM","LedsC4 Oval 300mm 05-2019-S2-14  Wandaufbaubauleuchte für den Innenbereich   Zeitloses Design. Material Körper: Aluminium. Oberfläche Körper: Aluminium seidenmatt. Garantie: 2 Jahre.  Nettogewicht des Produkts (Kg): 0.88 Breite oder Durchmesser des Produkts (mm): 300 Produkthöhe (mm): 70 Ausgang des Produktes (mm): 92 Gewicht in kg (verpackt): 1.2  Klasse 1. Glühdrahtprüfung: 850. IP: IP20. LED. Anzahl der Lampenfassungen oder LEDs: 1. Marke der LED: CITIZEN. Marke des Drivers: HEP. Maximale Leistung der Lichtquelle: 9.5W. Farbtemperatur: 3000K. Farbwiedergabeindex: 80. MacAdam-Steps: 3. Lebensdauer in Stunden: 50.000h L80B20. UGR:  11.2. Photobiologisches Risiko: RG1. Lichtstrom (lm): 764. Nominaler Lichtstrom (lm): 976. Reale Lm/W: 68. Spannungs-/Frequenzbereich: 100-240. Spannung: 9. Netzteil inklusive: Ja. Multivoltage-Netzteil inklusive. Gesamtleistung: 11.3. Leistungsfaktor: 0.50.",9405119090,Aluminium,"Aluminium seidenmatt",,300,70,92,"1xLED 9.5 976 lm",Ja,F,6,"Eingestellt DE",2013,"1,2","7,2","0,88","0,005","0,03",335,110,115,,,,,,,350,350,250,,,,,,,"11,3",976,764,3000K,80,,,IP20,,https://files.ledsc4.com/main-photo/05-2019-S2-14,,,,,,https://files.ledsc4.com/imc/05-2019-S2-14.html,https://files.ledsc4.com/el/05-2019-S2-14.html,https://files.ledsc4.com/fm/05-2019-S2-14.html,https://files.ledsc4.com/pl/05-2019-S2-14.html,,https://files.ledsc4.com/3d/05-2019-S2-14.html,https://files.ledsc4.com/ies/05-2019-S2-14.html,https://files.ledsc4.com/ldt/05-2019-S2-14.html,,,FX-LED-I,,,,"Oval 300mm"
05-9640-34-37,V0,Nein,Strahler,8435111097663,"Helio Alumiunium",Outdoor,"34,61",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/de/05-9640-34-37.html,"STRAHLER IP66 HELIO ALUMIUNIUM GU10 8W GRAU","LedsC4 Helio Alumiunium 05-9640-34-37  Strahler für den Außenbereich   Inklusive Érdspieß. Schwenkbare Lichtquelle. Material Körper: Aluminium. Oberfläche Körper: Grau. Material Diffusor: Glas. Oberfläche Diffusor: Durchsichtig. Schutz gegen UV-Strahlung. Garantie: 5 Jahre.  Nettogewicht des Produkts (Kg): 0.68 Produktlänge (mm): 170 Breite oder Durchmesser des Produkts (mm): 102 Ausgang des Produktes (mm): Max 180 Gewicht in kg (verpackt): 0.72  Klasse 1. Glühdrahtprüfung: 850. IP: IP66. IK: IK10. Netzteil inklusive: Nein. Gesamtleistung: 8.",9405491000,"Aluminium, Glas","Grau, Durchsichtig",170,102,,"Max 180",,Nein,"NA EPREL",12,"Auslauf DE",2012,"0,72","8,64","0,68","0,003","0,036",110,110,180,,,,,,,460,355,205,,,,,,,8,,,,,,,IP66,IK10,https://files.ledsc4.com/main-photo/05-9640-34-37,,,,https://files.ledsc4.com/detail-photo/1/05-9640-34-37,,https://files.ledsc4.com/imc/05-9640-34-37.html,,https://files.ledsc4.com/fm/05-9640-34-37.html,https://files.ledsc4.com/pl/05-9640-34-37.html,https://files.ledsc4.com/ft3/de/05-9640-34-37.html,https://files.ledsc4.com/3d/05-9640-34-37.html,https://files.ledsc4.com/ies/05-9640-34-37.html,https://files.ledsc4.com/ldt/05-9640-34-37.html,,,FX-INC-I,,,,"Helio Aluminium GU10"
