Reference,Version,Predetermined,Type,EAN13,Family,Catalog,"National Rate",Warranty,"Etiqueta V/f",Datasheet,Description,masterfile.tender_text,masterfile.codi_duaner,Material,Finish,Length,Width,Height,Projection,"Light source","Bulb included","Energy efficiency","Units master box","Discontinued item","Product launch","Weight packaged (KG)","Weight master box","Weight net (KG)","Volume Unit (m3)","Volume Master box (m3)","Length Box 1","Width Box 1","Height Box 1","Length Box 2","Width Box 2","Height Box 2","Length Box 3","Width Box 3","Height Box 3","Length MB 1","Width MB 1","Height MB 1","Length MB 2","Width MB 2","Height MB 2","Length MB 3","Width MB 3","Height MB 3","Wattage (W)","Lumen Output (lm)","Lumenes reales (lm)","Led Colour Temperature (K)",CRI,"Light Beam (º)","Regulation type","IP Rating",IK,"Web Image","Ambient Image 1","Ambient Image 2","Ambient Image 3","Detail Image 1","Detail Image 2",IMC,EE,Photometry,masterfile.ploma_comercial,Accessories,3D,masterfile.ies,masterfile.ldt,"Codi Kenia","Codi RETILAP","Codi Marroc","Country Code 4","Country Code 5","Country Code 6",Model
DE-0140-BLA,V0,Yes,"Surface-mounted ceiling light",8445386693163,"Pinta Round Ø400",DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0140-BLA.html,"SURFACE-MOUNTED CEILING LIGHT IP20 PINTA ROUND Ø400 LED 34.3W SW 3000-4000-6500","LedsC4 Pinta Round Ø400 DE-0140-BLA  Surface-mounted ceiling light  Structure material: Steel, Wood. Structure finish: White, Light wood. Diffuser material: Polystyrene. Diffuser finish: OPAL. Warranty: 5 Years.  Product net weight (Kg): 1.28 Product width or diameter (mm): 415 Product height (mm): 52  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 34.3W. Colour temperature: SW 3000-4000-6500K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. Nominal flux (lm): 5040. Voltage / frequency range: 220-240/50-60Hz. Voltage: 6. Colour temperature: SW 3000-4000-6500K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG1. Nominal flux (lm): 5040. Voltage: 6. Equipment included: Yes. Total power: 34.3. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Steel, Wood, Polystyrene","White, Light wood, OPAL",,415,52,,"1xLED 34.3 5040 lm",Yes,E,5,"Discontinuo_NC EN",2023,"1,92","9,6","1,28","0,013","0,065",70,420,420,,,,,,,,,,,,,,,,"34,3",5040,,"SW 3000-4000-6500K",80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0140-BLA,https://files.ledsc4.com/ambience-photo/1/DE-0140-BLA,https://files.ledsc4.com/ambience-photo/2/DE-0140-BLA,https://files.ledsc4.com/ambience-photo/3/DE-0140-BLA,https://files.ledsc4.com/detail-photo/1/DE-0140-BLA,https://files.ledsc4.com/detail-photo/2/DE-0140-BLA,https://files.ledsc4.com/imc/DE-0140-BLA.html,https://files.ledsc4.com/el/DE-0140-BLA.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0142-BLA,V0,Yes,"Surface-mounted ceiling light",8445386695051,"Pinta Round Ø600",DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0142-BLA.html,"SURFACE-MOUNTED CEILING LIGHT IP20 PINTA ROUND Ø600 LED 64W SW 3000-4000-6000K ","LedsC4 Pinta Round Ø600 DE-0142-BLA  Surface-mounted ceiling light  Structure material: Steel, Wood. Structure finish: White, Light wood. Diffuser material: Polystyrene. Diffuser finish: OPAL. Warranty: 5 Years.  Product net weight (Kg): 2.76 Product width or diameter (mm): 615 Product height (mm): 53  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 64W. Colour temperature: SW 3000-4000-6000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. Nominal flux (lm): 7100. Voltage / frequency range: 220-240V/50-60Hz. Voltage: 6. Colour temperature: SW 3000-4000-6000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG1. Nominal flux (lm): 7100. Voltage: 6. Equipment included: Yes. Total power: 64. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Steel, Wood, Polystyrene","White, Light wood, OPAL",,615,53,,"1xLED 64 7100 lm",Yes,E,4,"Discontinuo_NC EN",2023,"3,96","15,84","2,76","0,029","0,116",620,65,620,,,,,,,,,,,,,,,,64,7100,,"SW 3000-4000-6000K",80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0142-BLA,https://files.ledsc4.com/ambience-photo/1/DE-0142-BLA,https://files.ledsc4.com/ambience-photo/2/DE-0142-BLA,https://files.ledsc4.com/ambience-photo/3/DE-0142-BLA,https://files.ledsc4.com/detail-photo/1/DE-0142-BLA,https://files.ledsc4.com/detail-photo/2/DE-0142-BLA,https://files.ledsc4.com/imc/DE-0142-BLA.html,https://files.ledsc4.com/el/DE-0142-BLA.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0142-NEG,V0,Yes,"Surface-mounted ceiling light",8445386695044,"Pinta Round Ø600",DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0142-NEG.html,"SURFACE-MOUNTED CEILING LIGHT IP20 PINTA ROUND Ø600 LED 64W SW 3000-4000-6000K ","LedsC4 Pinta Round Ø600 DE-0142-NEG  Surface-mounted ceiling light  Structure material: Steel, Wood. Structure finish: Black, Light wood. Diffuser material: Polystyrene. Diffuser finish: OPAL. Warranty: 5 Years.  Product net weight (Kg): 2.76 Product width or diameter (mm): 615 Product height (mm): 53  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 64W. Colour temperature: SW 3000-4000-6000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. Nominal flux (lm): 7100. Voltage / frequency range: 220-240V/50-60Hz. Voltage: 6. Colour temperature: SW 3000-4000-6000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG1. Nominal flux (lm): 7100. Voltage: 6. Equipment included: Yes. Total power: 64. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Steel, Wood, Polystyrene","Black, Light wood, OPAL",,615,53,,"1xLED 64 7100 lm",Yes,E,4,"Discontinuo_NC EN",2023,"3,96","15,84","2,76","0,029","0,116",620,65,620,,,,,,,,,,,,,,,,64,7100,,"SW 3000-4000-6000K",80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0142-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0142-NEG,https://files.ledsc4.com/ambience-photo/2/DE-0142-NEG,https://files.ledsc4.com/ambience-photo/3/DE-0142-NEG,https://files.ledsc4.com/detail-photo/1/DE-0142-NEG,https://files.ledsc4.com/detail-photo/2/DE-0142-NEG,https://files.ledsc4.com/imc/DE-0142-NEG.html,https://files.ledsc4.com/el/DE-0142-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0143-BLA,V0,Yes,"Surface-mounted ceiling light",8445386689739,"Pinta Square 300x300mm",DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0143-BLA.html,"SURFACE-MOUNTED CEILING LIGHT IP20 PINTA SQUARE 300X300MM LED 22.8W SW 3000-4000","LedsC4 Pinta Square 300x300mm DE-0143-BLA  Surface-mounted ceiling light  Structure material: Steel, Wood. Structure finish: White, Light wood. Diffuser material: Polystyrene. Diffuser finish: OPAL. Warranty: 5 Years.  Product net weight (Kg): 1.06 Product length (mm): 315 Product width or diameter (mm): 315 Product height (mm): 52  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 22.8W. Colour temperature: SW 3000-4000-6500K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. Nominal flux (lm): 2530. Voltage / frequency range: 220-240/50-60Hz. Voltage: 6. Colour temperature: SW 3000-4000-6500K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG1. Nominal flux (lm): 2530. Voltage: 6. Equipment included: Yes. Total power: 23. Power factor: 0.55. Dimmable equipment included: ON-OFF.",9405119090,"Steel, Wood, Polystyrene","White, Light wood, OPAL",315,315,52,,"1xLED 22.8 2530 lm",Yes,E,10,"Discontinuo_NC EN",2023,"1,45","14,5","1,06","0,009","0,09",330,64,330,,,,,,,,,,,,,,,,23,2530,,"SW 3000-4000-6500K",80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0143-BLA,,,,,,https://files.ledsc4.com/imc/DE-0143-BLA.html,https://files.ledsc4.com/el/DE-0143-BLA.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0143-NEG,V0,Yes,"Surface-mounted ceiling light",8445386689746,"Pinta Square 300x300mm",DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0143-NEG.html,"SURFACE-MOUNTED CEILING LIGHT IP20 PINTA SQUARE 300X300MM LED 22.8W SW 3000-4000","LedsC4 Pinta Square 300x300mm DE-0143-NEG  Surface-mounted ceiling light  Structure material: Steel, Wood. Structure finish: Black, Light wood. Diffuser material: Polystyrene. Diffuser finish: OPAL. Warranty: 5 Years.  Product net weight (Kg): 1.06 Product length (mm): 315 Product width or diameter (mm): 315 Product height (mm): 52  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 22.8W. Colour temperature: SW 3000-4000-6500K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. Nominal flux (lm): 2530. Voltage / frequency range: 220-240/50-60Hz. Voltage: 6. Colour temperature: SW 3000-4000-6500K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG1. Nominal flux (lm): 2530. Voltage: 6. Equipment included: Yes. Total power: 23. Power factor: 0.55. Dimmable equipment included: ON-OFF.",9405119090,"Steel, Wood, Polystyrene","Black, Light wood, OPAL",315,315,52,,"1xLED 22.8 2530 lm",Yes,E,10,"Discontinuo_NC EN",2023,"1,45","14,5","1,06","0,009","0,09",330,64,33,,,,,,,,,,,,,,,,23,2530,,"SW 3000-4000-6500K",80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0143-NEG,,,,,,https://files.ledsc4.com/imc/DE-0143-NEG.html,https://files.ledsc4.com/el/DE-0143-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
60-E001-34-EH,V0,Yes,Streetlight,8445386783000,"Lyon Module",Outdoor,"445,2",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/60-E001-34-EH.html,"STREETLIGHT IP66 LYON MODULE LED 55W SW 2700-3200-4000K DALI-2 GREY 4741LM","LedsC4 Lyon Module 60-E001-34-EH  Streetlight for outdoor use.   For general lighting. Structure material: Aluminium. Structure finish: Grey. Diffuser material: Polycarbonate. Diffuser finish: Opal. UV protection. Warranty: 5 Years.  Product net weight (Kg): 3.9 Product width or diameter (mm): 126 Product height (mm): 940  Class 1. IP: IP66. IK: IK10. LED. No. of lampholders or LEDs: 1. Driver brand: INVENTRONICS. Maximum power of light source: 48.5W. Colour temperature: SW 2700-3200-4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR: 14.5. Photobiological risk: RG0. % de Flickering: &lt;5%. Real flux (lm): 4741. Real lm/W: 86. Voltage / frequency range: 90-305V, 50-60Hz. Voltage: 3. Colour temperature: SW 2700-3200-4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR: 14.5. Photobiological risk: RG0. Real flux (lm): 4741. Real lm/W: 86. Voltage: 3. Equipment included: Yes. Total power: 55. Power factor: 0.98. Dimmable equipment included: DALI-2.",9405119090,"Aluminium, Polycarbonate","Grey, Opal",,126,940,,,Yes,G,1,"Discontinuo EN",2024,"4,75","4,75","3,9","0,046","0,046",1390,180,185,,,,,,,,,,,,,,,,55,,4741,"SW 2700-3200-4000K",80,,DALI-2,IP66,IK10,https://files.ledsc4.com/main-photo/60-E001-34-EH,,,,,,https://files.ledsc4.com/imc/60-E001-34-EH.html,https://files.ledsc4.com/el/60-E001-34-EH.html,https://files.ledsc4.com/fm/60-E001-34-EH.html,,,https://files.ledsc4.com/3d/60-E001-34-EH.html,https://files.ledsc4.com/ies/60-E001-34-EH.html,https://files.ledsc4.com/ldt/60-E001-34-EH.html,,RETILAP-BALIZA,FX-LED-I,,,,"Lyon Lampost Module"
AP51-3PX8MPBB14,V0,Yes,"Recessed ceiling lights",8445386741598,"Ecofit Plus 60 x 60",Architectural,,2,40VDC/max.750mA,https://files.ledsc4.com/ft2/en/AP51-3PX8MPBB14.html,"RECESSED CEILING LIGHTS ECOFIT PLUS 60 X 60 LED 27.7W 4000K CRI 80 95.5º WHITE ","LedsC4 Ecofit Plus 60 x 60 AP51-3PX8MPBB14  Recessed ceiling lights for indoor use.  Structure material: Steel. Structure finish: White. Diffuser material: Methacrylate. Diffuser finish: MICROPRISMA. Warranty: 2 Years.  Product net weight (Kg): 2.15 Product length (mm): 595 Product width or diameter (mm): 595 Product height (mm): 15  Class 3. Luminaire not suitable for coating with insulation materials. IP: IP40. LED. No. of lampholders or LEDs: 1. LED brand: SAMSUNG. Maximum power of light source: 27.7W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B10. UGR: 15.6. Photobiological risk: RG1. Real flux (lm): 3490. Real lm/W: 126. Voltage: 19.8. Equipment included: No, but it is needed. Total power: 27.7. Power factor: 0.95.",9405119090,"Steel, Methacrylate","White, MICROPRISMA",595,595,15,,,Yes,C,5,"Descatalogado EN",,"2,62","13,1","2,15","0,02","0,1",610,710,40,,,,,,,,,,,,,,,,"27,7",,3490,4000K,80,,,IP40,,https://files.ledsc4.com/main-photo/AP51-3PX8MPBB14,,,,https://files.ledsc4.com/detail-photo/1/AP51-3PX8MPBB14,,https://files.ledsc4.com/imc/AP51-3PX8MPBB14.html,https://files.ledsc4.com/el/AP51-3PX8MPBB14.html,https://files.ledsc4.com/fm/AP51-3PX8MPBB14.html,,https://files.ledsc4.com/ft3/en/AP51-3PX8MPBB14.html,https://files.ledsc4.com/3d/AP51-3PX8MPBB14.html,https://files.ledsc4.com/ies/AP51-3PX8MPBB14.html,https://files.ledsc4.com/ldt/AP51-3PX8MPBB14.html,,RETILAP-DECORATIVE,DW-LED-III,,,,"Ecofit Plus 59.5cm x 59.5cm"
AP52-3PW8MPOS14,V0,Yes,"Recessed ceiling lights",8445386741550,"Ecofit Plus 119,5 x 29,5",Architectural,"136,58",5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/AP52-3PW8MPOS14.html,"RECESSED CEILING LIGHTS ECOFIT PLUS 119,5 X 29,5 LED 30.7W 3000K CRI 80 95.5º O","LedsC4 Ecofit Plus 119,5 x 29,5 AP52-3PW8MPOS14  Recessed ceiling lights for indoor use.  Structure material: Steel. Structure finish: White. Diffuser material: Methacrylate. Diffuser finish: MICROPRISMA. Warranty: 5 Years.  Product net weight (Kg): 2.78 Product length (mm): 1195 Product width or diameter (mm): 295 Product height (mm): 15  Class 2. Luminaire not suitable for coating with insulation materials. IP: IP40. LED. No. of lampholders or LEDs: 1. LED brand: SAMSUNG. Driver brand: PHILIPS. Maximum power of light source: 27.7W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B10. UGR: 15.7. Photobiological risk: RG1. % de Flickering: &lt;1%. Real flux (lm): 3350. Real lm/W: 109. Voltage / frequency range: 220-240V/50-60Hz. Voltage: 39. Equipment included: Yes. Total power: 30.7. Power factor: 0.96. Dimmable equipment included: ON-OFF.",9405119090,"Steel, Methacrylate","White, MICROPRISMA",1195,295,15,,,Yes,C,5,"Discontinuo EN",,"3,43","17,15","2,78","0,032","0,16",1240,390,50,,,,,,,,,,,,,,,,"30,7",,3350,3000K,80,,ON-OFF,IP40,,https://files.ledsc4.com/main-photo/AP52-3PW8MPOS14,https://files.ledsc4.com/ambience-photo/1/AP52-3PW8MPOS14,,,,,https://files.ledsc4.com/imc/AP52-3PW8MPOS14.html,https://files.ledsc4.com/el/AP52-3PW8MPOS14.html,https://files.ledsc4.com/fm/AP52-3PW8MPOS14.html,,https://files.ledsc4.com/ft3/en/AP52-3PW8MPOS14.html,https://files.ledsc4.com/3d/AP52-3PW8MPOS14.html,https://files.ledsc4.com/ies/AP52-3PW8MPOS14.html,https://files.ledsc4.com/ldt/AP52-3PW8MPOS14.html,,RETILAP-DECORATIVE,DW-LED-II,,,,"Ecofit Plus 119.5cm x 29.5cm"
TC-0007-NEG,V0,Yes,"Recessed ceiling lights",8445386782744,"Jet Ø220mm",Forlight,43,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/TC-0007-NEG.html,"RECESSED CEILING LIGHTS JET Ø220MM LED 29.5W 4000K ON-OFF BLACK IN IP20 / OUT I","LedsC4 Jet Ø220mm TC-0007-NEG  Recessed ceiling lights for indoor use.   For downlighting. Structure material: Aluminium. Structure finish: Black. Diffuser material: Polystyrene. Diffuser finish: Opal white. Warranty: 5 Years.  Product net weight (Kg): 0.77 Product width or diameter (mm): 220 Product height (mm): 67 Ø of the hole for recessing (mm): 205 Permitted ceiling thickness: 0-25  Class 2. Luminaire not suitable for coating with insulation materials. Glow wire test: 750. IP: IN IP20 / OUT IP54. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 27.5W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 5. Hours of life: 36.000h L70B30. UGR: 23.0. Photobiological risk: RG0. Real flux (lm): 2042. Nominal flux (lm): 3300. Real lm/W: 69. Voltage / frequency range: 100-240/50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 29.5. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Polystyrene","Black, Opal white",,220,67,,"1xLED 27.5 3300.00 lm",Yes,E,20,"Discontinuo EN",2024,"0,94","18,8","0,77","0,004","0,08",230,230,77,,,,,,,,,,,,,,,,"29,5","3300,00",2042,4000K,80,SPOT+HONEYCOMB,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/TC-0007-NEG,,,,,,https://files.ledsc4.com/imc/TC-0007-NEG.html,https://files.ledsc4.com/el/TC-0007-NEG.html,https://files.ledsc4.com/fm/TC-0007-NEG.html,,,,https://files.ledsc4.com/ies/TC-0007-NEG.html,https://files.ledsc4.com/ldt/TC-0007-NEG.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,
DE-0240-NEG,V0,Yes,"Surface-mounted wall light",8445386824130,"Sfera Triplex",Forlight,"174,55",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/DE-0240-NEG.html,"SURFACE-MOUNTED WALL LIGHT SFERA TRIPLEX G9 18W BLACK","LedsC4 Sfera Triplex DE-0240-NEG  Surface-mounted wall light  Structure material: Steel, Aluminium. Structure finish: Black. Diffuser material: Glass. Diffuser finish: OPAL. Warranty: 5 Years.  Product net weight (Kg): 1.23 Product width or diameter (mm): 585 Product height (mm): 172 Product aperture (mm): 175  Class 2. IP: IP44. Total power: 18.",9405199090,"Steel, Aluminium, Glass","Black, OPAL",,585,172,175,,No,"NA EPREL",4,"Discontinuo EN",2024,"1,75",7,"1,23","0,018","0,072",670,150,170,,,,,,,,,,,,,,,,18,,,,,,,IP44,,https://files.ledsc4.com/main-photo/DE-0240-NEG,,,,https://files.ledsc4.com/detail-photo/1/DE-0240-NEG,https://files.ledsc4.com/detail-photo/2/DE-0240-NEG,https://files.ledsc4.com/imc/DE-0240-NEG.html,,https://files.ledsc4.com/fm/DE-0240-NEG.html,,,,https://files.ledsc4.com/ies/DE-0240-NEG.html,https://files.ledsc4.com/ldt/DE-0240-NEG.html,,RETILAP-DECORATIVE,FX-INC-II,,,,
DE-0203-NAT,V0,Yes,Pendant,8445386823560,"Korg Ø500mm",Forlight,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/DE-0203-NAT.html,"PENDANT KORG Ø500MM E27 15W LIGHT WOOD BLACK","LedsC4 Korg Ø500mm DE-0203-NAT  Pendant for indoor use.  Structure material: Steel, Wood, Rope. Structure finish: Light wood, Black. Warranty: 2 Years.  Product net weight (Kg): 1.4 Product width or diameter (mm): 500 Product height (mm): 1378  Class 1. IP: IP20. Equipment included: No. Total power: 15.",9405199090,"Steel, Wood, Rope, Rope","Light wood, Black",,500,1378,,,No,"NA EPREL",1,"Descatalogado EN",2024,"2,5","2,5","1,4","0,045","0,045",530,530,160,,,,,,,,,,,,,,,,15,,,,,,,IP20,,https://files.ledsc4.com/main-photo/DE-0203-NAT,https://files.ledsc4.com/ambience-photo/1/DE-0203-NAT,,,https://files.ledsc4.com/detail-photo/1/DE-0203-NAT,https://files.ledsc4.com/detail-photo/2/DE-0203-NAT,https://files.ledsc4.com/imc/DE-0203-NAT.html,,https://files.ledsc4.com/fm/DE-0203-NAT.html,,,,https://files.ledsc4.com/ies/DE-0203-NAT.html,https://files.ledsc4.com/ldt/DE-0203-NAT.html,,RETILAP-DECORATIVE,FX-INC-I,,,,
DE-0204-NAT,V0,Yes,"Floor lamp",8445386823577,Korg,Forlight,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/DE-0204-NAT.html,"FLOOR LAMP KORG E27 15W LIGHT WOOD BLACK","LedsC4 Korg DE-0204-NAT  Floor lamp for indoor use.  Structure material: Steel, Wood, Rope. Structure finish: Light wood, Black. Warranty: 2 Years.  Product net weight (Kg): 6.9 Product length (mm): 400 Product width or diameter (mm): 545 Product height (mm): 1515  Class 2. IP: IP20. Equipment included: No. Total power: 15.",9405299090,"Steel, Wood, Rope, Rope","Light wood, Black",400,545,1515,,,No,"NA EPREL",1,"Descatalogado EN",2024,"7,8","7,8","6,9","0,047","0,047",440,180,590,,,,,,,,,,,,,,,,15,,,,,,,IP20,,https://files.ledsc4.com/main-photo/DE-0204-NAT,https://files.ledsc4.com/ambience-photo/1/DE-0204-NAT,,,https://files.ledsc4.com/detail-photo/1/DE-0204-NAT,https://files.ledsc4.com/detail-photo/2/DE-0204-NAT,https://files.ledsc4.com/imc/DE-0204-NAT.html,,https://files.ledsc4.com/fm/DE-0204-NAT.html,,,,https://files.ledsc4.com/ies/DE-0204-NAT.html,https://files.ledsc4.com/ldt/DE-0204-NAT.html,,RETILAP-DECORATIVE,PR-INC-II,,,,
PX-0616-NEG,V0,Yes,"Surface-mounted wall light",8445386813998,Novaré,DIY,,5,Solar,https://files.ledsc4.com/ft2/en/PX-0616-NEG.html,"SURFACE-MOUNTED WALL LIGHT IP54 NOVARÉ LED 8W 4000K BLACK 1000","LedsC4 Novaré PX-0616-NEG  Surface-mounted wall light for outdoor use.  Metres of cable included: 1,8m. Adjustable light source. Structure material: ABS. Structure finish: Black. Diffuser material: Polycarbonate. Diffuser finish: Transparent. UV protection. Warranty: 5 Years.  Product net weight (Kg): 0.52 Product length (mm): 165 Product width or diameter (mm): 180 Product height (mm): 80  Class 3. IP: IP54. IK: IK08. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 8W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG1. Nominal flux (lm): 1000. Voltage: 3. Equipment included: Yes. Total power: 8.",9405114090,"ABS, Polycarbonate","Black, Transparent",165,180,80,,"1xLED 8 1000 lm",Yes,"NA EPREL",20,"Inactivo EN",2024,"0,7",14,"0,52","0,003","0,06",255,50,180,,,,,,,,,,,,,,,,8,1000,,4000K,80,,,IP54,IK08,https://files.ledsc4.com/main-photo/PX-0616-NEG,https://files.ledsc4.com/ambience-photo/1/PX-0616-NEG,,,https://files.ledsc4.com/detail-photo/1/PX-0616-NEG,https://files.ledsc4.com/detail-photo/2/PX-0616-NEG,https://files.ledsc4.com/imc/PX-0616-NEG.html,,,,,,,,,RETILAP-SOLAR,FX-LED-II,,,,
DE-0176-ESP,V0,Yes,Bath,8445386825069,"Lizz Round",Forlight,"276,85",3,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0176-ESP.html,"MIRROR LIZZ ROUND LED 21W 4000K ON-OFF MIRROR 2610","LedsC4 Lizz Round DE-0176-ESP  Bath for indoor use.  Structure material: Glass. Structure finish: Mirror. Warranty: 3 Years.  Product net weight (Kg): 4.33 Product width or diameter (mm): 600 Product aperture (mm): 35  Class 2. IP: IP44. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 19W. Colour temperature: 4000K. Colour rendering index: 92. MacAdam Steps: 3. Hours of life: 36.000h L70B30. UGR: 14.0. Photobiological risk: RG0. % de Flickering: &lt;5%. Real flux (lm): 1322. Nominal flux (lm): 2610. Real lm/W: 63. Voltage / frequency range: 220-240V/50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 21. Power factor: 0.9. Dimmable equipment included: ON-OFF.",7009910090,Glass,Mirror,,600,,35,"1xLED 19 2610 lm",Yes,D,1,"Discontinuo EN",2024,"5,26","5,26","4,33","0,032","0,032",655,75,655,,,,,,,,,,,,,,,,21,2610,1322,4000K,92,SPOT+HONEYCOMB,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/DE-0176-ESP,https://files.ledsc4.com/ambience-photo/1/DE-0176-ESP,,,https://files.ledsc4.com/detail-photo/1/DE-0176-ESP,https://files.ledsc4.com/detail-photo/2/DE-0176-ESP,https://files.ledsc4.com/imc/DE-0176-ESP.html,https://files.ledsc4.com/el/DE-0176-ESP.html,https://files.ledsc4.com/fm/DE-0176-ESP.html,,,,https://files.ledsc4.com/ies/DE-0176-ESP.html,https://files.ledsc4.com/ldt/DE-0176-ESP.html,,RETILAP-DECORATIVE,FX-LED-II,,,,
DE-0177-ESP,V0,Yes,Bath,8445386825076,"Lizz Rectangular",Forlight,"253,25",3,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0177-ESP.html,"MIRROR LIZZ RECTANGULAR LED 21W 4000K ON-OFF MIRROR 2610","LedsC4 Lizz Rectangular DE-0177-ESP  Bath for indoor use.  Structure material: Glass. Structure finish: Mirror. Warranty: 3 Years.  Product net weight (Kg): 4.15 Product width or diameter (mm): 450 Product height (mm): 600 Product aperture (mm): 35  Class 2. IP: IP44. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 19W. Colour temperature: 4000K. Colour rendering index: 92. MacAdam Steps: 3. Hours of life: 36.000h L70B30. UGR: 13.0. Photobiological risk: RG0. % de Flickering: &lt;5%. Real flux (lm): 954. Nominal flux (lm): 2610. Real lm/W: 45. Voltage / frequency range: 220-240V/50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 21. Power factor: 0.9. Dimmable equipment included: ON-OFF.",7009910090,Glass,Mirror,,450,600,35,"1xLED 19 2610 lm",Yes,D,1,"Discontinuo EN",2024,"4,97","4,97","4,15","0,025","0,025",655,75,510,,,,,,,,,,,,,,,,21,2610,954,4000K,92,SPOT+HONEYCOMB,ON-OFF,IP44,,https://files.ledsc4.com/main-photo/DE-0177-ESP,,,,https://files.ledsc4.com/detail-photo/1/DE-0177-ESP,https://files.ledsc4.com/detail-photo/2/DE-0177-ESP,https://files.ledsc4.com/imc/DE-0177-ESP.html,https://files.ledsc4.com/el/DE-0177-ESP.html,https://files.ledsc4.com/fm/DE-0177-ESP.html,,,,https://files.ledsc4.com/ies/DE-0177-ESP.html,https://files.ledsc4.com/ldt/DE-0177-ESP.html,,RETILAP-DECORATIVE,FX-LED-II,,,,
