SKU,INVENTARIO
15-9948-CA-CL,158
15-9948-CA-CM,10
15-A003-14-DE,15
15-A003-14-OE,100
15-A003-14-OU,222
15-A007-14-MS,1
15-A020-60-00,11
15-A024-60-00,1
15-A025-14-00,3
15-A033-14-DO,38
15-A182-14-00,0
15-A183-60-00,5
15-E000-34-CM,0
15-E002-34-CM,38
15-E003-34-CM,0
15-E004-34-CM,28
15-E005-34-CM,23
15-E006-34-OE,1
15-E020-DL-CM,0
15-E025-34-CL,2
15-E025-54-CL,1
15-E025-Z5-CM,1
15-E033-60-CL,1
15-E042-14-CM,1
15-E050-DL-EH,0
15-E050-Z5-EH,0
15-E051-Z5-CL,1
15-E054-Z5-CM,1
15-E060-14-CL,5
15-E062-60-CL,1
15-E105-05-CL,0
15-E110-M1-EH,28
15-E111-M1-EH,16
15-E123-14-CL,14
15-E123-14-CM,0
15-E124-Z5-CK,0
15-E125-Z5-CK,0
15-E128-Z5-CK,0
15-E128-Z5-CL,0
25-0058-BW-M1,0
25-0467-21-82,0
25-1940-05-H13W,324
25-1940-BW-T007,53
25-2934-BW-M3,0
25-3686-21-M1,49
25-4695-21-82,0
25-4695-81-82,31
25-4919-21-82,0
25-5076-01-H13W,12
25-5076-06-H13W,0
25-5677-14-M1,2
25-5931-05-34,0
25-6420-05-05,743
25-8520-05-EM,7
25-8521-05-EM,1
25-9503-Z5-M1,0
25-9733-05-CK,48
25-9733-05-M1,0
25-A026-05-M1,15
25-E000-Z5-OU,4
25-E003-DL-XB,1
25-E008-60-OU,4
25-E011-60-EH,2
25-E012-14-EH,2
25-E012-60-EH,1
25-E014-60-EH,1
25-E015-14-EH,1
30-0068-14-F9,0
30-1964-CF-CF,174
30-3249-CF-M1,77
30-3250-CF-M1,0
30-4356-CF-CF,561
30-4393-CF-M1,0
30-4393-N3-M1,12
30-4399-81-F9,0
30-4399-E4-F9,0
30-4399-J7-F9,0
30-4863-81-81,0
30-5676-81-M1,0
30-5676-CF-M1,12
30-5679-14-14,0
30-5681-J7-F9,0
30-6141-CF-CF,0
30-7643-14-F9,0
30-7657-81-EC,3
30-7719-14-F9,0
30-7720-14-F9,0
30-7722-14-F9,0
30-7972-14-F9,0
30-7973-14-F9,161
30-8340-05-05,8
30-8340-05-43,7
30-8340-05-93,96
30-8342-05-05,0
30-8342-05-43,0
30-8342-05-93,13
30-8407-81-14,0
30-8408-81-14,126
30-8550-05-37,16
30-8550-81-37,122
30-8551-14-F9,0
320-CR,1
35-1565-60-00,2
35-2205-14-OU,1
35-3934-60-OS,5
35-3938-14-DU,2
35-3941-14-OS,0
35-3942-14-OU,1
35-3957-14-OU,2
35-4305-60-OS,0
35-4306-60-OU,5
35-4313-14-DU,1
35-4313-14-OS,0
35-4313-60-OS,1
35-4732-60-OU,2
35-4934-14-OU,3
35-4936-14-OU,1
35-4937-14-OU,1
35-4937-60-OU,1
35-4939-60-OS,0
35-4939-60-OU,15
35-5237-60-OS,9
35-5238-60-OS,2
35-5238-60-OU,3
35-5239-60-OU,1
35-5242-14-OS,3
35-5242-14-OU,2
35-5242-60-OS,2
35-5242-60-OU,0
35-5243-14-OU,3
35-5243-60-OS,1
35-5244-60-OS,2
35-5245-14-OU,4
35-5251-60-OU,6
35-5255-14-OU,22
35-5255-60-OU,9
35-5257-14-OU,3
35-5258-14-OU,1
35-5259-14-OU,9
35-5259-60-OU,5
35-5261-14-OU,1
35-5262-14-OU,4
35-5263-14-OU,5
35-5273-14-OU,0
35-5380-60-OS,1
35-5382-14-OS,4
35-5394-14-OS,5
35-5394-60-OS,7
35-5396-14-OS,1
35-5396-60-OS,1
35-5397-14-OS,1
35-5397-60-OS,6
35-5398-14-OS,2
35-5398-60-OS,8
35-5399-60-OS,1
35-5400-14-OS,2
35-5400-60-OU,5
35-5401-14-DU,4
35-5401-60-OU,1
35-5411-14-OU,1
35-5412-14-OS,1
35-5413-14-OS,6
35-5414-14-OU,2
35-5414-60-DU,1
35-5414-60-OU,3
35-5415-60-DU,1
35-5415-60-OS,1
35-5416-14-OS,12
35-5417-60-OS,2
35-5583-14-OU,14
35-5584-14-OU,2
35-5584-60-OU,1
35-5585-14-OU,1
35-5587-60-MS,0
35-5591-60-MS,2
35-5597-60-MS,4
35-5680-14-00,12
35-5680-60-00,3
35-5718-60-OU,1
35-5719-60-OS,1
35-5722-14-OU,6
35-5722-60-OU,3
35-5724-14-OS,8
35-5724-60-OS,3
35-5724-60-OU,7
35-5728-14-OU,14
35-5728-60-OS,0
35-5729-14-OS,8
35-5729-14-OU,5
35-5731-60-OS,0
35-5734-14-OU,2
35-5735-14-OU,4
35-5736-60-OU,11
35-5737-14-OU,4
35-5911-60-OS,1
35-5914-14-OS,4
35-5914-14-OU,2
35-5915-14-OU,3
35-5916-14-OS,3
35-5917-14-OU,1
35-5920-60-OU,2
35-5943-14-OF,2
35-5943-14-OG,4
35-5944-14-OF,6
35-5944-14-OG,5
35-5944-14-OM,9
35-6057-60-OS,1
35-6061-14-EU,1
35-6062-60-EU,8
